text,devanagari,label
आnndi,आनंदी,positive
आNndee,आनंदी,positive
आnndee,आनंदी,positive
आnndhee,आनंदी,positive
khoshee,खोशी,positive
khosee,खोशी,positive
khoshi,खोशी,positive
KHOSHEE,खोशी,positive
SुKHEE,सुखी,positive
sुkhee,सुखी,positive
sुkhi,सुखी,positive
sntुsh्t,संतुष्ट,positive
sntुs्t,संतुष्ट,positive
SntुSh्T,संतुष्ट,positive
tृp्t,तृप्त,positive
TृP्T,तृप्त,positive
smadhani,समाधानी,positive
smaadhaanee,समाधानी,positive
Smaadhaanee,समाधानी,positive
p्rsn्n,प्रसन्न,positive
P्Rsn्N,प्रसन्न,positive
hr्shिt,हर्षित,positive
hr्sिt,हर्षित,positive
Hr्ShिT,हर्षित,positive
उL्Laasee,उल्लासी,positive
उl्laasee,उल्लासी,positive
उl्lasi,उल्लासी,positive
आNndmy,आनंदमय,positive
आnndmy,आनंदमय,positive
p्rem,प्रेम,positive
P्Rem,प्रेम,positive
Mog,मोग,positive
mog,मोग,positive
S्Neh,स्नेह,positive
s्neh,स्नेह,positive
may,माय,positive
MAAY,माय,positive
maay,माय,positive
Kaakoot,काकूत,positive
khaakhoot,काकूत,positive
kaakoot,काकूत,positive
kakut,काकूत,positive
LAAD,लाड,positive
lad,लाड,positive
laad,लाड,positive
mmthaa,ममता,positive
MMTAA,ममता,positive
mmtaa,ममता,positive
mmta,ममता,positive
VAAT्SL्Y,वात्सल्य,positive
vat्sl्y,वात्सल्य,positive
vaat्sl्y,वात्सल्य,positive
sauhar्d,सौहार्द,positive
sauhaar्d,सौहार्द,positive
Sauhaar्D,सौहार्द,positive
MAIT्REE,मैत्री,positive
mait्ree,मैत्री,positive
mait्ri,मैत्री,positive
आshaavaadee,आशावादी,positive
आshavadi,आशावादी,positive
आsaavaadee,आशावादी,positive
आshaavaadhee,आशावादी,positive
आShaavaadee,आशावादी,positive
उmedi,उमेदी,positive
उmedhee,उमेदी,positive
उMedee,उमेदी,positive
उmedee,उमेदी,positive
आSHECHEN,आशेचें,positive
आsecen,आशेचें,positive
आshechen,आशेचें,positive
bhrvsaa,भरवशा,positive
bhrvshaa,भरवशा,positive
bhrvsha,भरवशा,positive
BHRVSHAA,भरवशा,positive
vिs्vaas,विश्वास,positive
VिSh्Vaas,विश्वास,positive
vिsh्vas,विश्वास,positive
vिsh्vaas,विश्वास,positive
आs्tha,आस्था,positive
आS्THAA,आस्था,positive
आs्thaa,आस्था,positive
sh्rd्dhaa,श्रद्धा,positive
sh्rd्dha,श्रद्धा,positive
s्rd्dhaa,श्रद्धा,positive
Sh्Rd्Dhaa,श्रद्धा,positive
bhk्ti,भक्ती,positive
bhk्tee,भक्ती,positive
bhk्thee,भक्ती,positive
Bhk्Tee,भक्ती,positive
nिsh्tha,निष्ठा,positive
nिs्thaa,निष्ठा,positive
nिsh्thaa,निष्ठा,positive
NिSH्THAA,निष्ठा,positive
smr्pn,समर्पण,positive
SMR्PN,समर्पण,positive
YSHS्VEE,यशस्वी,positive
yshs्vi,यशस्वी,positive
yss्vee,यशस्वी,positive
yshs्vee,यशस्वी,positive
Sphl,सफल,positive
sphl,सफल,positive
jyi,जयी,positive
JYEE,जयी,positive
jyee,जयी,positive
vिjyi,विजयी,positive
vिjyee,विजयी,positive
VिJYEE,विजयी,positive
praak्rmee,पराक्रमी,positive
PRAAK्RMEE,पराक्रमी,positive
prak्rmi,पराक्रमी,positive
SिD्Dhee,सिद्धी,positive
sिd्dhee,सिद्धी,positive
sिd्dhi,सिद्धी,positive
KAAMYAAB,कामयाब,positive
khaamyaab,कामयाब,positive
kaamyaab,कामयाब,positive
kamyab,कामयाब,positive
उPlb्Dhee,उपलब्धी,positive
उplb्dhi,उपलब्धी,positive
उplb्dhee,उपलब्धी,positive
p्rgti,प्रगती,positive
p्rgtee,प्रगती,positive
P्Rgtee,प्रगती,positive
p्rgthee,प्रगती,positive
vिkaas,विकास,positive
vिkas,विकास,positive
vिkhaas,विकास,positive
VिKAAS,विकास,positive
p्rbhaavee,प्रभावी,positive
p्rbhavi,प्रभावी,positive
P्Rbhaavee,प्रभावी,positive
prिnaamkhaark,परिणामकारक,positive
prिnamkark,परिणामकारक,positive
prिnaamkaark,परिणामकारक,positive
PRिNAAMKAARK,परिणामकारक,positive
phldaayee,फलदायी,positive
phldayi,फलदायी,positive
PHLDAAYEE,फलदायी,positive
phldhaayee,फलदायी,positive
s्pr्dhaat्mk,स्पर्धात्मक,positive
S्Pr्Dhaat्Mk,स्पर्धात्मक,positive
s्pr्dhat्mk,स्पर्धात्मक,positive
अG्RGN्Y,अग्रगण्य,positive
अg्rgn्y,अग्रगण्य,positive
अG्Resr,अग्रेसर,positive
अg्resr,अग्रेसर,positive
pुdhari,पुढारी,positive
pुdhaaree,पुढारी,positive
PुDhaaree,पुढारी,positive
NETृT्V,नेतृत्व,positive
netृt्v,नेतृत्व,positive
maar्gdr्shn,मार्गदर्शन,positive
maar्gdr्sn,मार्गदर्शन,positive
mar्gdr्shn,मार्गदर्शन,positive
MAAR्GDR्SHN,मार्गदर्शन,positive
p्rerna,प्रेरणा,positive
p्rernaa,प्रेरणा,positive
P्Rernaa,प्रेरणा,positive
dr्jhedhaar,दर्जेदार,positive
DR्JEDAAR,दर्जेदार,positive
dr्jedar,दर्जेदार,positive
dr्jedaar,दर्जेदार,positive
gुnvt्thaaphoor्n,गुणवत्तापूर्ण,positive
gुnvt्tapur्n,गुणवत्तापूर्ण,positive
gुnvt्taapoor्n,गुणवत्तापूर्ण,positive
GुNvt्Taapoor्N,गुणवत्तापूर्ण,positive
उCh्Ch,उच्च,positive
उc्c,उच्च,positive
उch्ch,उच्च,positive
Sh्Resh्Th,श्रेष्ठ,positive
sh्resh्th,श्रेष्ठ,positive
s्res्th,श्रेष्ठ,positive
अd्vिtheey,अद्वितीय,positive
अD्VिTEEY,अद्वितीय,positive
अd्vिteey,अद्वितीय,positive
अd्vिtiy,अद्वितीय,positive
अSAAMAAN्Y,असामान्य,positive
अsaman्y,असामान्य,positive
अsaamaan्y,असामान्य,positive
vिses,विशेष,positive
vिshesh,विशेष,positive
VिSHESH,विशेष,positive
अNOKHEN,अनोखें,positive
अnokhen,अनोखें,positive
nvlaईchen,नवलाईचें,positive
NVLAAईCHEN,नवलाईचें,positive
nvlaaईchen,नवलाईचें,positive
nvlaaईcen,नवलाईचें,positive
आSH्CHR्YKAARK,आश्चर्यकारक,positive
आsh्chr्ykark,आश्चर्यकारक,positive
आsh्chr्ykaark,आश्चर्यकारक,positive
आsh्chr्ykhaark,आश्चर्यकारक,positive
आs्cr्ykaark,आश्चर्यकारक,positive
phaarkhee,पारखी,positive
parkhi,पारखी,positive
Paarkhee,पारखी,positive
paarkhee,पारखी,positive
nिpुn,निपुण,positive
NिPुN,निपुण,positive
kुsl,कुशळ,positive
KुShl,कुशळ,positive
kुshl,कुशळ,positive
hुnrbaj,हुनरबाज,positive
hुnrbaaj,हुनरबाज,positive
hुnrbhaaj,हुनरबाज,positive
HुNRBAAJ,हुनरबाज,positive
klaakुsr,कलाकुसर,positive
klakुsr,कलाकुसर,positive
KlaakुSr,कलाकुसर,positive
klat्mk,कलात्मक,positive
klaat्mk,कलात्मक,positive
Klaat्Mk,कलात्मक,positive
sृjnseel,सृजनशील,positive
sृjnshil,सृजनशील,positive
SृJnsheel,सृजनशील,positive
sृjnsheel,सृजनशील,positive
NिR्MिTEE,निर्मिती,positive
nिr्mिtee,निर्मिती,positive
nिr्mिti,निर्मिती,positive
nिr्mिthee,निर्मिती,positive
rchnaa,रचना,positive
rcnaa,रचना,positive
RCHNAA,रचना,positive
rchna,रचना,positive
nिr्maan,निर्माण,positive
nिr्man,निर्माण,positive
NिR्Maan,निर्माण,positive
NिRogee,निरोगी,positive
nिrogi,निरोगी,positive
nिrogee,निरोगी,positive
nिroghee,निरोगी,positive
tndुrुs्t,तंदुरुस्त,positive
TndुRुS्T,तंदुरुस्त,positive
S्VS्TH,स्वस्थ,positive
s्vs्th,स्वस्थ,positive
BLिSH्T,बळिश्ट,positive
blिs्t,बळिश्ट,positive
blिsh्t,बळिश्ट,positive
ऊr्jhaavaan,ऊर्जावान,positive
ऊr्javan,ऊर्जावान,positive
ऊr्jaavaan,ऊर्जावान,positive
ऊR्Jaavaan,ऊर्जावान,positive
Sk्RिY,सक्रिय,positive
sk्rिy,सक्रिय,positive
chुs्t,चुस्त,positive
cुs्t,चुस्त,positive
CHुS्T,चुस्त,positive
PhुR्Tee,फुर्ती,positive
phुr्ti,फुर्ती,positive
phुr्tee,फुर्ती,positive
phुr्thee,फुर्ती,positive
thaakd,ताकद,positive
TAAKD,ताकद,positive
takd,ताकद,positive
taakd,ताकद,positive
sk्tee,शक्ती,positive
SHK्TEE,शक्ती,positive
shk्ti,शक्ती,positive
shk्thee,शक्ती,positive
shk्tee,शक्ती,positive
taje,ताजे,positive
thaajhe,ताजे,positive
taaje,ताजे,positive
TAAJE,ताजे,positive
trुn,तरुण,positive
TrुN,तरुण,positive
YुVAA,युवा,positive
yुvaa,युवा,positive
yुva,युवा,positive
caitn्y,चैतन्य,positive
CHAITN्Y,चैतन्य,positive
chaitn्y,चैतन्य,positive
sjheev,सजीव,positive
sjeev,सजीव,positive
Sjeev,सजीव,positive
sjiv,सजीव,positive
P्RAANVNT,प्राणवंत,positive
p्ranvnt,प्राणवंत,positive
p्raanvnt,प्राणवंत,positive
jिvnt,जिवंत,positive
JिVNT,जिवंत,positive
s्phoor्tee,स्फूर्ती,positive
