text,devanagari,label,type
बरem,बरें,positive,word
बरAYṂ,बरें,positive,word
बरeyṃ,बरें,positive,word
बरen,बरें,positive,word
बरeṃ,बरें,positive,word
छAन,छान,positive,word
छaन,छान,positive,word
छāन,छान,positive,word
छaaन,छान,positive,word
उत्तम,उत्तम,positive,word
सुnदर,सुंदर,positive,word
सुmदर,सुंदर,positive,word
मस्त,मस्त,positive,word
भलēn,भलें,positive,word
भलayn,भलें,positive,word
भलen,भलें,positive,word
भलeṃ,भलें,positive,word
saaबahस,शाबास,positive,word
shāबāस,शाबास,positive,word
SAHबAस,शाबास,positive,word
shaaबaaस,शाबास,positive,word
ŚAबAस,शाबास,positive,word
गohड,गोड,positive,word
गoड,गोड,positive,word
गōड,गोड,positive,word
मĪठ,मीठ,positive,word
मīठ,मीठ,positive,word
मiठ,मीठ,positive,word
मeeठ,मीठ,positive,word
सōबiत,सोबीत,positive,word
सohबieत,सोबीत,positive,word
सoबeeत,सोबीत,positive,word
सŌबIEत,सोबीत,positive,word
रOUMद,रूंद,positive,word
रooṃद,रूंद,positive,word
रoonद,रूंद,positive,word
रounद,रूंद,positive,word
पAAवन,पावन,positive,word
पāवन,पावन,positive,word
पaaवन,पावन,positive,word
पAवन,पावन,positive,word
पवित्र,पवित्र,positive,word
saुद्ध,शुद्ध,positive,word
shुद्ध,शुद्ध,positive,word
sुद्ध,शुद्ध,positive,word
shaुद्ध,शुद्ध,positive,word
सaफ,साफ,positive,word
सāफ,साफ,positive,word
सaaफ,साफ,positive,word
सahफ,साफ,positive,word
स्वच्छ,स्वच्छ,positive,word
निर्मळ,निर्मळ,positive,word
स्पsh्ट,स्पष्ट,positive,word
स्पṣ्ट,स्पष्ट,positive,word
स्पs्ट,स्पष्ट,positive,word
स्पssha्ट,स्पष्ट,positive,word
सoपēm,सोपें,positive,word
सowपen,सोपें,positive,word
सoपeyṃ,सोपें,positive,word
सoपen,सोपें,positive,word
सOHपEYM,सोपें,positive,word
सुविधa,सुविधा,positive,word
सुविधā,सुविधा,positive,word
सुविधaa,सुविधा,positive,word
सुविधA,सुविधा,positive,word
आनṃद,आनंद,positive,word
आनnद,आनंद,positive,word
खosh,खोश,positive,word
खōs,खोश,positive,word
खows,खोश,positive,word
खohs,खोश,positive,word
आनNददAHयक,आनंददायक,positive,word
आनmददaaयक,आनंददायक,positive,word
आनNददAयक,आनंददायक,positive,word
आनṃददāयक,आनंददायक,positive,word
आनnददaaयक,आनंददायक,positive,word
आवडIचĒṂ,आवडीचें,positive,word
आवडeeचen,आवडीचें,positive,word
आवडeeचeyṃ,आवडीचें,positive,word
आवडiचen,आवडीचें,positive,word
आवडīचayṃ,आवडीचें,positive,word
प्रिय,प्रिय,positive,word
प्रeमळ,प्रेमळ,positive,word
प्रAYमळ,प्रेमळ,positive,word
प्रēमळ,प्रेमळ,positive,word
मaaयāळ,मायाळ,positive,word
मaaयaaळ,मायाळ,positive,word
मāयaळ,मायाळ,positive,word
मaयaळ,मायाळ,positive,word
मAAयAAळ,मायाळ,positive,word
स्नAYहIE,स्नेही,positive,word
स्नēहie,स्नेही,positive,word
स्नayहie,स्नेही,positive,word
स्नeहee,स्नेही,positive,word
स्नayहī,स्नेही,positive,word
दयAHळ,दयाळ,positive,word
दयahळ,दयाळ,positive,word
दयaaळ,दयाळ,positive,word
दयaळ,दयाळ,positive,word
कृपaaळ,कृपाळ,positive,word
कृपahळ,कृपाळ,positive,word
कृपaळ,कृपाळ,positive,word
कृपAAळ,कृपाळ,positive,word
हुsahर,हुशार,positive,word
हुshaaर,हुशार,positive,word
चलahख,चलाख,positive,word
चलaaख,चलाख,positive,word
चलaख,चलाख,positive,word
बुद्धiमāन,बुद्धीमान,positive,word
बुद्धīमaaन,बुद्धीमान,positive,word
बुद्धeeमaaन,बुद्धीमान,positive,word
बुद्धiमahन,बुद्धीमान,positive,word
बुद्धIमAHन,बुद्धीमान,positive,word
तरकieबee,तरकीबी,positive,word
तरकīबī,तरकीबी,positive,word
तरकeeबie,तरकीबी,positive,word
तरकīबee,तरकीबी,positive,word
तरकeeबee,तरकीबी,positive,word
कुśळ,कुशळ,positive,word
कुshaळ,कुशळ,positive,word
कुshळ,कुशळ,positive,word
कुsळ,कुशळ,positive,word
निपुण,निपुण,positive,word
प्रवeeण,प्रवीण,positive,word
प्रवiण,प्रवीण,positive,word
प्रवIण,प्रवीण,positive,word
प्रवīण,प्रवीण,positive,word
प्रवEEण,प्रवीण,positive,word
दक्ṣ,दक्ष,positive,word
दक्s,दक्ष,positive,word
दक्sh,दक्ष,positive,word
कसबee,कसबी,positive,word
कसबī,कसबी,positive,word
कसबie,कसबी,positive,word
हुनर,हुनर,positive,word
